run_id,intervention_index,intervention_name,description,difficulty,difficulty_score,duration_seconds
MigrationExperiment_Lovelace,6,inkonsistenter Zugriff fixed,,Low,1,1
MigrationExperiment_Lovelace,7,removed wrong namespace,,Low,1,1
MigrationExperiment_Lovelace,8,removed wron namespace,,Low,1,1
MigrationExperiment_Lovelace,9,added missing using,,Low,1,1
MigrationExperiment_Lovelace,10,added missing using,,Low,1,1
MigrationExperiment_Lovelace,11,Inconsistent parameter access fixed,,Low,1,2
MigrationExperiment_Lovelace,12,add missing relay command,,Medium,2,5
MigrationExperiment_Lovelace,13,Removed wrong using,,Low,1,1
MigrationExperiment_Lovelace,14,added missing using,,Low,1,1
MigrationExperiment_Lovelace,15,added missing using,,Low,1,1
MigrationExperiment_Lovelace,16,RelayCommand is missing Create fixed all appearing errors,,Medium,2,10
